PhraseId,SentenceId,Phrase
31264,1460,is Oscar-worthy
64393,3260,Brown 's saga
106810,5641,Extremities
26121,1197,may be surprised at the variety of tones in Spielberg 's work .
25259,1153,fool
68373,3469,of Russian history
130472,7030,of anyone
141867,7695,because it can never be seen
84152,4347,known as ' a perfect family film
153119,8361,find an escape clause
126083,6773,first actor to lead a group of talented friends astray
95398,4981,that really gives the film its oomph
87036,4512,"the writing is indifferent , and"
71644,3655,cultist 's
121247,6493,not for every taste
20084,891,most politically audacious films
128838,6930,"of power boats , Latin music and dog tracks"
124016,6658,Puts a refreshing and comical spin on the all-too-familiar saga of the contemporary single woman .
853,32,"Hampered -- no , paralyzed --"
133856,7222,this bold move works
120437,6439,of Chabrol 's most intense psychological mysteries
59479,2999,his career
453,16,sweet
99029,5193,are canny and spiced with irony
152476,8320,the result is a film that 's about as subtle as a party political broadcast
155602,8516,Taxi
42518,2050,powerful direction
28129,1292,leaves a bitter taste
138541,7504,Two big things
14565,627,'s just rather leaden and dull
22003,988,asked so often
93695,4885,it 's only a movie
15411,659,than bad
32558,1527,'s on par with the first one
91651,4768,sense and
24708,1126,vivid performances
39835,1903,it an exhilarating
136440,7377,a definitive account of Eisenstein 's life
70267,3578,delivering a dramatic slap
154525,8446,all over
8412,349,Manas
120804,6464,The laughs are as rare as snake foo yung .
67047,3403,"with a sour taste in one 's mouth , and little else"
155292,8500,replete with the pubescent scandalous
140696,7633,the real issues tucked between the silly and crude storyline
73144,3736,physique
119356,6381,wisdom and humor
25799,1180,"Wow , so who knew Charles Dickens could be so light-hearted ?"
61940,3132,this movie must surely be one of them
134304,7246,this is one adapted - from-television movie that actually looks as if it belongs on the big screen .
75424,3867,the crazy things
53539,2654,"cleverness , wit or"
50763,2497,"a Twinkie -- easy to swallow , but scarcely nourishing"
77206,3971,The problem with all of this : It 's not really funny .
24116,1096,sitcom
142163,7713,A very good film sits in the place where a masterpiece should be .
100866,5298,"Lang 's Metropolis , Welles ' Kane"
101190,5318,by its predictable plot and paper-thin supporting characters
68953,3502,find it
103870,5476,not a
154580,8452,helm a more traditionally plotted popcorn thriller while surrendering little of his intellectual rigor or creative composure
122605,6576,are ` they ' ?
34361,1613,Topics that could make a sailor blush - but lots of laughs
132960,7171,"snapping it might have held my attention , but as it stands I"
13618,584,"watching it now , with older and wiser eyes , because we know what will happen after Greene 's story ends"
131456,7083,"is not a stereotypical one of self-discovery , as she 's already comfortable enough in her own skin to be proud of her Rubenesque physique ..."
10981,468,be made by African-Americans because of its broad racial insensitivity towards African-Americans
95248,4969,of New York locales and sharp writing
126052,6772,gets a lot of flavor and spice
58261,2936,his secretary to fax it
64757,3279,busts
143868,7807,of Zishe
80258,4137,little question
122065,6542,of dedicated artists
101660,5351,"The script boasts some tart TV-insider humor ,"
123863,6651,"buzz , blab and money"
92974,4843,mean you wo n't like looking at it
122839,6589,review life-affirming
121241,6492,... Watching it was painful .
3564,133,have been funnier if the director had released the outtakes theatrically and used the film as a bonus feature on the DVD
151217,8243,in the characters
154480,8445,American Beauty reeks
140751,7636,hang together
66344,3365,An acceptable way to pass a little over an hour with moviegoers ages
3466,128,lunch
18273,798,same old garbage
9493,395,formula filmmaking
139632,7575,real danger
68104,3456,spare and simple manner
84494,4372,If you like blood
103730,5470,Some writer
136095,7353,can be safely recommended as a video\/DVD babysitter
107226,5665,thrills from your Halloween entertainment
150896,8225,"sweet , genuine"
151288,8248,"typically observant , carefully nuanced and intimate French coming-of-age film that is an encouraging debut feature but has a needlessly downbeat ending that"
70893,3614,but what underdog movie since The Bad News Bears has been
81111,4179,"is , more often then"
16078,691,else yawning with admiration
137685,7451,many tense scenes
55363,2762,precious at the start and
113065,6004,into one of the toughest ages a kid can go through
136295,7368,", even sexy"
146849,7989,works nothing short of a minor miracle in Unfaithful
80433,4144,"Except as an acting exercise or an exceptionally dark joke , you wonder what anyone saw in this film that allowed it to get made ."
120326,6432,who could easily have killed a president because it made him feel powerful
136948,7408,"It 's too harsh to work as a piece of storytelling , but"
33336,1562,"the compassion , good-natured humor"
116847,6234,"life affirming and heartbreaking , sweet without the decay factor , funny and sad"
39930,1908,reason to watch
101262,5323,"Children , Christian or otherwise"
34583,1625,gel
28089,1291,"In gleefully , thumpingly hyperbolic terms"
154590,8452,little of his intellectual rigor or creative composure
86910,4504,stay with you
19175,841,"Kids will love its fantasy and adventure , and grownups should appreciate its whimsical humor"
66557,3378,The self-serious Equilibrium makes its point too well ;
74392,3812,"Witless , pointless , tasteless and idiotic ."
53117,2634,desperate grandiosity
153,4,juicy
127669,6866,understated piece
151399,8255,"without being funny simply by structuring the scenes as if they were jokes : a setup , delivery and payoff"
53472,2651,a fresh view of an old type
76070,3903,but it 's difficult to shrug off the annoyance of that chatty fish
29232,1353,observed character piece .
45304,2203,it far above
71675,3657,given the stale plot and pornographic way
61247,3096,"provides a grim , upsetting glimpse at the lives of some of the 1.2 million Palestinians who live in the crowded cities and refugee camps of Gaza"
110455,5851,"about drug dealers , kidnapping , and unsavory folks"
73036,3730,a true and historically significant story
83874,4334,if the suspense never rises to a higher level
108388,5736,convinced of its own brilliance
44969,2181,with his sister
149161,8116,I found myself strangely moved by even the corniest and most hackneyed contrivances .
29511,1367,is certainly
3125,118,300 years
61244,3095,above the rest
97733,5117,its invitingly upbeat overture to its pathos-filled but ultimately life-affirming finale
12062,517,"knowledge ,"
14586,629,Although the subject matter may still be too close to recent national events
45903,2232,an exploratory medical procedure
47880,2334,in anime like this
152875,8344,brooding but quietly
61981,3135,the energetic frontman
110149,5833,fill this character study with poetic force and buoyant feeling
134333,7247,seesawed back and forth between controlling interests multiple times
71472,3645,Man ''
87694,4553,go through the motions
16106,693,ought to be a whole lot scarier than they are in this tepid genre offering .
74069,3790,otherwise challenging soul
83835,4332,gives pic its title an afterthought
8011,328,dismissed
92419,4812,any Hollywood fluff
1285,48,"sure the filmmaker would disagree , but , honestly , I do n't see the point"
53206,2640,quick-buck sequel
106171,5607,affectionately goofy satire
41638,2004,Director David Jacobson gives Dahmer a consideration that the murderer never game his victims .
51518,2537,could easily
92972,4843,that does n't mean you wo n't like looking at it
25067,1145,on its own self-consciousness
135222,7299,be a sweet and enjoyable fantasy
66733,3386,mannerisms
42789,2065,oddly colorful
17298,751,wide awake and
19964,885,too erotic nor
18220,796,austere
7545,306,ruthless social order
22451,1013,of ``
74838,3836,as adults
130064,7004,down his spine
42014,2021,undeserved
142173,7714,has no scenes that will upset or frighten young viewers .
148102,8060,of female-bonding pictures like Divine Secrets of the Ya-Ya Sisterhood
80958,4172,yearning for adventure and a chance to prove his worth
75836,3890,an acting bond that makes The Banger Sisters a fascinating character study with laughs to spare
120584,6448,drang
19962,885,'s neither too erotic nor very thrilling
29666,1374,"results that are sometimes bracing , sometimes baffling and quite often"
95271,4973,"Instead of panoramic sweep , Kapur gives us episodic choppiness , undermining the story 's emotional thrust ."
4213,160,"An uncluttered , resonant gem that relays its universal points without lectures or confrontations . '"
37655,1790,It 's not even a TV special you 'd bother watching past the second commercial break
142856,7752,wait till then
89909,4679,any director
74424,3814,"is its refusal to recognise any of the signposts , as if discovering a way through to the bitter end without a map ."
104573,5521,wireless
144260,7829,has n't gone straight to video
38768,1849,by quickly
120462,6441,an impeccable sense
7731,314,"clarity matters , both in breaking codes and making movies ."
1134,41,banality
135050,7290,has there
47151,2298,cutting impressions
21932,981,It drowns in sap .
102295,5382,megaplex screenings
11272,486,in the pile of useless actioners
61225,3094,its worthy predecessors
41123,1971,endorses They simply because this movie makes his own look much better by comparison
146531,7971,"2,500"
155021,8482,ca n't really call it a work of art
40316,1930,gloriously
127207,6841,to squeeze by on Angelina Jolie 's surprising flair for self-deprecating comedy
45584,2215,"the worries of the rich and sudden wisdom , the film becomes a sermon for most of its running time ."
153951,8411,but no-nonsense human beings they are and for the still-inestimable contribution they have made to our shared history
7289,297,often inspiring
18660,818,"are all aliens , too"
17248,749,before his death
64448,3263,"Maik , the firebrand turned savvy ad man , would be envious of"
42500,2049,that if
12445,533,lightweight escapist film
128835,6930,Miami Vice '' checklist
127079,6834,eager to please
134240,7244,", Red Dragon satisfies -- from its ripe recipe , inspiring ingredients , certified cuisine and palatable presentation ."
18037,786,super-simple animation
141913,7698,giving audiences no reason to truly care for its decrepit freaks beyond the promise of a reprieve from their incessant whining
41414,1990,Harry &
60751,3068,every bit as much as life hems
2813,108,that probably the only way to have saved the film is with the aid of those wisecracking Mystery Science Theater 3000 guys
25685,1173,win over
80858,4168,"Sandler running on empty , repeating what he 's already done way too often"
87562,4543,been more
1030,38,rambling incoherence
126461,6799,of the movie rising above similar fare
137823,7458,rapturous after all these years
134799,7276,all before in one form or another
83412,4309,the two leads delivering Oscar-caliber performances
102374,5387,'s so muddled and derivative that few will bother thinking it all through
70594,3599,Masseur
983,36,easily
64420,3261,what little Lilo & Stitch had in
26098,1194,move quickly
51657,2546,painfully formulaic and stilted
60959,3078,on the projection television screen of a sports bar
43778,2122,long gone bottom-of-the-bill fare
155370,8503,an almost visceral sense
57077,2875,was as superficial as the forced New Jersey lowbrow accent Uma had
23030,1043,t
23988,1089,like-themed film
5270,209,Bond
32207,1508,quirkily
154705,8461,"'s consistently surprising , easy to watch -- but , oh , so dumb"
63725,3226,"serves up all of that stuff , nearly subliminally , as the old-hat province of male intrigue"
150087,8175,rent the Disney version
142341,7722,"there are no movies of Nijinsky , so"
107916,5707,the comedy of Tom Green and the Farrelly Brothers
102257,5380,like commiserating
120633,6450,the war between the sexes
75406,3867,"Brims with passion : for words , for its eccentric , accident-prone characters , and for the crazy things that keep people going in this crazy life"
99893,5241,all the outward elements
139154,7542,the company 's previous video work
17741,768,than The Simpsons ever has
83563,4319,you root for throughout
58538,2949,whose legacy
36568,1729,is still quite good-natured and not a bad way to spend an hour or two .
5453,217,let
61109,3086,decent budget
21063,942,irreverent
71447,3644,cool compassion
3896,148,key
73660,3767,"There 's nothing exactly wrong here ,"
57656,2906,game cast
32349,1516,well edited so that it certainly does n't feel like a film that strays past the two and a half mark
27509,1263,"its courageousness , and"
122104,6544,Jack Nicholson
109342,5790,of of others
71433,3643,Silence of the Lambs
73408,3751,"finally makes Sex With Strangers , which opens today in the New York metropolitan area , so distasteful"
142932,7758,tissue-thin ego
23691,1076,Apted
118685,6344,"watching The Rock chomp on jumbo ants , pull an arrow out of his back , and leap unscathed through raging fire"
53454,2650,grand passion
39506,1886,families and church meetings
8521,352,reductive
11195,482,"... may look classy in a '60s - homage pokepie hat , but as a character he 's dry , dry , dry ."
151809,8283,feel familiar and foreign
26101,1195,#NAME?
132859,7163,", morally superior"
32658,1530,both adults and
27612,1268,the cracked lunacy
80068,4124,the 21st
127916,6882,"As if trying to grab a lump of Play-Doh , the harder that Liman tries to squeeze his story"
91798,4778,called Best Bad Film You Thought Was Going To Be Really Awful
39306,1876,is creepy in a Michael Jackson sort of way .
86549,4481,this loser
128994,6937,works beautifully as a movie
10511,443,plays like Clueless Does South Fork
13740,592,content
17154,744,are drying out from spring break
75184,3856,an outline
44713,2168,giddy
1658,61,hurt
83913,4336,an earnest study in despair
3774,143,misses its emotions
49069,2396,American-style ?
122682,6582,an old woman straight out of Eudora Welty
89561,4658,"Boasts a handful of virtuosic set pieces and offers a fair amount of trashy , kinky fun ."
141845,7695,best trick
128032,6887,over The Time Machine
99279,5206,show-don
89076,4631,like one of those conversations
57536,2902,above-average
71175,3632,the genre is well established
62162,3143,"A smart and funny , albeit sometimes superficial , cautionary tale of a technology in search of an artist ."
70395,3588,you have nothing better to do with 94 minutes
134037,7234,ingeniously constructed than `` Memento ''
147557,8029,pop up frequently
62491,3161,", self-important stories"
17260,749,to the issues
89024,4626,ripening
31733,1487,that the gang feels comfortable with taking insane liberties and doing the goofiest stuff out of left field
73192,3738,in still-raw emotions
52443,2594,in ` classic
118810,6350,decent ` intro ' documentary
154524,8446,the same all over
142243,7717,Constantly touching
29095,1346,"definitive , if disingenuous ,"
71794,3663,"is dark , brooding and slow , and takes its central idea way too seriously"
69237,3518,an undistinguished rhythm
87954,4568,"is , its filmmakers run out of clever ideas and visual gags about halfway through ."
59436,2998,refreshingly unhibited
69136,3513,"She may not be real , but the laughs are ."
42818,2067,gadgets and
18006,784,not funny performers
104958,5544,and fragmentary tale
138719,7517,"rank as one of the cleverest , most deceptively amusing comedies of the year ."
60549,3057,"is little more than Home Alone raised to a new , self-deprecating level ."
119029,6362,the cut
4183,157,single
78159,4022,setting off
96675,5049,categorize this as a smutty guilty pleasure
25373,1159,a success
106112,5603,unforgettable characters
39750,1898,describes
137031,7412,is beyond playing fair with the audience
47831,2331,the direction of Spielberg
21747,972,` rendered '
65902,3342,aging filmmaker
91274,4749,"discovered , indulged in"
92571,4822,Sorority
38302,1823,This 10th film
10740,456,"bring on the Battle Bots ,"
5266,208,process
46954,2288,wallowing
65764,3334,Foreman 's barking-mad Taylor to Thewlis 's smoothly sinister Freddie and Bettany\/McDowell 's hard-eyed gangster
142767,7748,I saw an audience laugh so much during a movie
4009,152,There 's a scientific law to be discerned here that producers would be well to heed
124494,6689,"An energetic , violent movie with a momentum that never lets up"
105784,5584,91-minute
144683,7852,"his smooth , shrewd , powerful act"
142354,7723,... a true delight .
138003,7466,Even if you 're an agnostic carnivore
17012,738,sell
83687,4326,care about its protagonist and celebrate his victories
134438,7252,in almost every possible way -- from the writing and direction to the soggy performances -- tossed off
22930,1037,of the world
66656,3383,most at women 's expense
147,4,Shakespearean tragedy
77991,4014,the hero 's odyssey
20169,897,overcome the triviality of the story
71168,3631,more ambivalent
45670,2219,want to bolt the theater in the first 10 minutes
21236,950,satisfyingly unsettling ride
64437,3262,the comic opportunities richly rewarded
64139,3245,", K-19 sinks to a Harrison Ford low ."
35650,1679,is in the same category
93325,4868,generally smart casting
40994,1965,cheaper action movie production
151958,8292,an emotional edge
40059,1919,all its shoot-outs
55937,2797,"is owned by its costars , Spader and Gyllenhaal"
77511,3986,nice rhythm
105459,5569,Colgate U.
86445,4475,mar an otherwise excellent film .
146248,7952,"A chilly , remote , emotionally distant piece ... so dull that its tagline should be"
27933,1282,lacks the skill or presence to regain any ground
71921,3672,seems to have recharged him
23062,1044,the skies
78269,4027,untrained
13112,563,by that
115521,6155,that parents love to have their kids
3068,115,", the film makes it seem ,"
151323,8250,As gory as the scenes of torture and self-mutilation may be
68074,3454,Blind Date
66149,3354,"continue to negotiate their imperfect , love-hate relationship"
50168,2466,"does n't know if it wants to be a retro-refitting exercise in campy recall for older fans or a silly , Nickelodeon-esque kiddie flick ."
65962,3345,a therapeutic zap of shock treatment
58703,2960,"Wendigo , Larry Fessenden 's spooky new thriller ,"
